poi_name,poi_id,score,sight_level,region,price,latitude,longitude,id
成都大熊猫繁育研究基地,76342,4.5,4A,成都,55,30.747146,104.145729,1
都江堰景区,76447,4.7,5A,都江堰,80,31.00793,103.617627,2
杜甫草堂,76340,4.6,4A,成都,50,30.666397,104.034848,3
武侯祠,76341,4.6,4A,成都,49.9,30.652582,104.054572,4
青城山,87301,4.6,5A,都江堰,80,30.911742,103.569195,5
金沙遗址博物馆,82723,4.7,4A,成都,66,30.687743,104.019116,6
成都博物馆,30752363,4.8,,成都,0,30.663395,104.070117,7
蜀风雅韵川剧院,10759015,4.7,,成都,188,30.666654,104.049871,8
文殊坊,13790277,4.6,,成都,0,30.678945,104.079869,9
梨园会馆-非遗川剧变脸演出(文殊院店),136621444,4.9,,成都,49.9,30.679492,104.080129,10
武隆天生三桥,82315,4.6,5A,重庆,155,29.439383,107.811693,11
武隆喀斯特旅游区,92173,4.6,5A,重庆,50,29.42398,107.774556,12
长江索道,91483,4.1,4A,重庆,20,29.563936,106.589294,13
重庆动物园,78160,4.7,4A,重庆,24.5,29.509414,106.51248,14
重庆两江游,13228641,4.4,,重庆,137,29.5686,106.583009,15
洪崖洞民俗风貌区,10558957,4.6,4A,重庆,0,29.568365,106.585507,16
仙女山国家森林公园,78137,4.5,5A,重庆,50,29.503327,107.745381,17
白帝城·瞿塘峡景区,76355,4.5,5A,奉节,95,31.047874,109.583809,18
重庆湖广会馆,82101,4.5,4A,重庆,25,29.563911,106.59334,19
大足石刻,78129,4.6,5A,重庆,110,29.75248,105.776324,20
秦始皇帝陵博物院(兵马俑),75682,4.7,5A,西安,120,34.39202,109.288527,21
华清宫,75681,4.5,5A,西安,120,34.364035,109.221619,22
《长恨歌》演出,10758966,4.5,,西安,269,34.369948,109.218973,23
西安城墙,75686,4.6,5A,西安,45,34.257907,108.954666,24
华山,98212,4.7,5A,华阴,0,34.497645,110.073018,25
大唐芙蓉园,81938,4.3,5A,西安,120,34.218949,108.980724,26
陕西历史博物馆,75684,4.6,4A,西安,0,34.230523,108.961495,27
西安钟楼,84631,4.5,,西安,30,34.26562,108.953509,28
大唐不夜城,10557626,4.5,,西安,0,34.220781,108.970556,29
大明宫国家遗址公园,84625,4.1,5A,西安,60,34.298634,108.969898,30
法门文化景区,84611,4.5,5A,扶风,98,34.440763,107.908118,31
太白山国家森林公园,84612,4.6,5A,眉县,180,34.070664,107.827461,32
关山草原,84608,4.4,4A,陇县,0,34.72813,106.570447,33
宝鸡青铜器博物院,85240,4.7,,宝鸡,0,34.3534,107.201604,34
中华石鼓园,93921,4.5,4A,宝鸡,0,34.354285,107.200075,35
太白山凤凰温泉,13277719,4.7,,眉县,109,34.138506,107.916834,36
五丈原风景区,144200387,0,,岐山,0,34.267844,107.633131,37
五丈原诸葛亮庙,85218,4.3,,岐山,29.9,34.269048,107.633845,38
大唐秦王陵博物馆,98094,4.5,,宝鸡,44.8,34.401453,107.136109,39
鳌山滑雪度假区,30635286,4.4,,太白,199,34.033017,107.411291,40
龙头山国际旅游度假区,71535645,4.5,4A,汉中,0,32.741675,106.976526,41
兴汉胜境,56299161,4.3,4A,汉中,90,33.114828,107.036897,42
青木川古镇,84801,4.5,4A,宁强,54,32.836085,105.587711,43
汉中石门栈道风景区,84793,4.2,4A,勉县,70,33.216406,106.971127,44
勉县武侯祠博物馆,79406,4.5,4A,勉县,50,33.155653,106.641906,45
佛坪熊猫谷,22883772,4,4A,佛坪,24.7,33.674306,107.979944,46
武侯墓,79407,4.5,4A,勉县,30,33.12949,106.659017,47
紫柏山国家森林公园,93962,4.4,4A,留坝,0,33.677313,106.737498,48
张良庙,79410,4.5,4A,留坝,50,33.684313,106.843216,49
诸葛古镇,33520283,4,,勉县,0,33.154657,106.643213,50
官鹅沟,10521199,4.1,5A,宕昌,55,34.016357,104.39915,51
万象洞风景名胜区,10545976,4.2,4A,陇南,100,33.347425,105.010218,52
文县天池国家森林公园,22882939,4.4,4A,文县,84.1,33.246113,104.755124,53
西狭颂景区,101473,4.2,4A,成县,40,33.707877,105.604562,54
千坝草原,56807980,2.8,,陇南,0,33.396218,104.940032,55
鹅嫚沟,145486190,5,,宕昌,0,34.008863,104.454388,56
阳坝自然风景区,13399512,3.8,4A,康县,0,33.049737,105.766514,57
碧口古镇,56809819,3.4,,文县,0,32.755906,105.252809,58
陇南美食街,58304890,4.3,,陇南,0,33.395939,104.932435,59
鸡峰山国家森林公园,24650563,4.3,,成县,50,33.693431,105.693574,60
